Extension Hill/Iron Hill | Lat: -29.570508, Lon: 117.148110 | 324.86m
Exxaro Coal Central | Lat: -26.201158, Lon: 29.353616 | 1602.14m
Fabrica | Lat: -20.181017, Lon: -43.880841 | 1324.02m
Farmersburg | Lat: 39.248651, Lon: -87.381963 | 171.35m
Federal | Lat: 39.669997, Lon: -80.253253 | 379.98m
Fernandinho | Lat: -20.183833, Lon: -43.859028 | 1309.66m
Flint Ridge | Lat: 37.482376, Lon: -83.236439 | 380.45m
FNI Cagdianao | Lat: 9.495076, Lon: 125.867516 | 8.42m
Fortescue Pilbara Region | Lat: -22.326748, Lon: 119.396984 | 447.25m
Fortnum Gold Operations | Lat: -25.329329, Lon: 118.356257 | 507.02m
Fos-sur-Mer steel plant | Lat: 43.437098, Lon: 4.877832 | 2.91m
Francisco | Lat: 38.337959, Lon: -87.433876 | 131.5m
Franke | Lat: -25.836793, Lon: -69.856130 | 1405.32m
Freda-Rebecca | Lat: -17.297133, Lon: 31.308718 | 1094.16m
Friguia | Lat: 10.387486, Lon: -13.578314 | 170.36m
Fruta del Norte | Lat: -3.834197, Lon: -78.603979 | 1288.98m
Fujairah Refinery | Lat: 25.193947, Lon: 56.354509 | 2.79m
Gabriela Mistral | Lat: -23.422881, Lon: -68.790356 | 2740.4m
Gary Works | Lat: 41.609302, Lon: -87.333523 | 131.0m
Gateway North | Lat: 38.186558, Lon: -89.622528 | 171.48m
Geita | Lat: -2.867576, Lon: 32.186494 | 1371.35m
Gerdau Barao de Cocais | Lat: -19.937301, Lon: -43.480088 | 840.52m
Gerdau Cambridge | Lat: 43.371497, Lon: -80.280507 | 292.59m
Gerdau Cearense | Lat: -3.854267, Lon: -38.605432 | 66.99m
Gerdau Charlotte | Lat: 35.340538, Lon: -80.827094 | 238.23m
Gerdau Charqueadas | Lat: -29.952803, Lon: -51.616160 | 21.99m
Gerdau Contagem | Lat: -19.962031, Lon: -44.023970 | 967.45m
Gerdau Cosigua | Lat: -22.905327, Lon: -43.745672 | -5.0m
