Cannington | Lat: -21.855915, Lon: 140.906955 | Silver
CAP Acero | Lat: -36.750301, Lon: -73.125885 | Processing
CAP Huasco Pellet Plant | Lat: -28.482417, Lon: -71.248979 | Processing
Capcoal | Lat: -22.957402, Lon: 148.567583 | Coal
Carbones del Guasare | Lat: 11.041552, Lon: -72.273166 | Coal
Carborough Downs | Lat: -21.951265, Lon: 148.208020 | Coal
Cardinal River | Lat: 52.932758, Lon: -117.307034 | Coal
Carlin | Lat: 40.857502, Lon: -116.245009 | Gold
Carlota | Lat: 33.384777, Lon: -110.989560 | Copper
Carmen de Andacollo | Lat: -30.256716, Lon: -71.086290 | Copper
Carosue Dam | Lat: -30.153572, Lon: 122.350958 | Gold
Carrapateena | Lat: -31.239886, Lon: 137.492165 | Other mine
Casa de Pedra | Lat: -20.486113, Lon: -43.896238 | Iron
Casposo | Lat: -31.210804, Lon: -69.630009 | Gold
Catalao | Lat: -18.146048, Lon: -47.800569 | Other (poly)-metallic
Catalao Phosphate | Lat: -18.164115, Lon: -47.880825 | Other mine
Cato Ridge | Lat: -29.716351, Lon: 30.618107 | Processing
Caval Ridge | Lat: -22.156640, Lon: 148.058433 | Coal
Cayeli | Lat: 41.039486, Lon: 40.765036 | Copper
CBG Sangaredi | Lat: 11.079653, Lon: -13.786853 | Aluminium
Cedynia Wire Rod Plant | Lat: 51.573563, Lon: 16.347508 | Processing
CEMESA | Lat: 24.055539, Lon: -104.675140 | Iron
Centinela | Lat: -22.953896, Lon: -69.128837 | Copper
Central Coalfields Limited | Lat: 23.780125, Lon: 85.537477 | Coal
Central GOK | Lat: 47.996511, Lon: 33.415407 | Iron
Central Murchison Gold Project | Lat: -27.318154, Lon: 117.655500 | Gold
Century | Lat: -18.734005, Lon: 138.619156 | Zinc
Cerrejon | Lat: 11.132820, Lon: -72.624500 | Coal
Cerro Bayo | Lat: -46.545331, Lon: -71.849629 | Gold
Cerro de Pasco | Lat: -10.671734, Lon: -76.263945 | Zinc
Cerro Matoso | Lat: 7.922526, Lon: -75.547895 | Nickel
Cerro Moro | Lat: -48.130369, Lon: -66.653730 | Gold
Cerro Negro | Lat: -46.872219, Lon: -70.220258 | Gold
Cerro Negro Norte | Lat: -27.104107, Lon: -70.331382 | Iron
Cerro Vanguardia | Lat: -48.384231, Lon: -68.262665 | Gold
Cerro Verde | Lat: -16.538255, Lon: -71.578330 | Copper
Chagres | Lat: -32.803492, Lon: -70.958809 | Processing
Chaijiagou | No coordinates. | Coal
Chain Valley | Lat: -33.162907, Lon: 151.549515 | Coal
Chalco Chongqing Branch | No coordinates. | Processing
Chalco Henan Branch | No coordinates. | Processing
Chalco Qinghai Branch | No coordinates. | Processing
Chalco Shandong Branch | No coordinates. | Processing
Chalco Shanxi Other Mines | No coordinates. | Aluminium
Chanderiya Smelter | Lat: 24.962556, Lon: 74.662682 | Processing
Changgou | No coordinates. | Other (poly)-metallic
Chapada | Lat: -18.144431, Lon: -47.823558 | Copper
Chapadao | No coordinates. | Other mine
Charbon | Lat: -32.893539, Lon: 149.981065 | Coal
Cheremshansky | Lat: 54.367464, Lon: 86.904300 | Coal
Cherepovets Steel | Lat: 59.144929, Lon: 37.804293 | Processing
Chernigovets | Lat: 55.619568, Lon: 86.162245 | Coal
Chibuluma South | Lat: -12.909486, Lon: 28.080078 | Copper
Chifeng | Lat: 42.287749, Lon: 119.028527 | Processing
China Coal Energy | No coordinates. | Coal
Chino | Lat: 32.790887, Lon: -108.086258 | Copper
Chirano | Lat: 6.311213, Lon: -2.382291 | Gold
Chongli | Lat: 40.877206, Lon: 115.352737 | Gold
Chotia | Lat: 22.796819, Lon: 82.471314 | Coal
Chungar | Lat: -11.031318, Lon: -76.424492 | Zinc
Cienega | Lat: 25.048710, Lon: -106.340701 | Gold
Clairton Plant | Lat: 40.296670, Lon: -79.872987 | Processing
Clarence | Lat: -33.464019, Lon: 150.247286 | Coal
Clermont | Lat: -22.731689, Lon: 147.613516 | Coal
Cliffs | Lat: -27.306884, Lon: 120.540913 | Other mine
Cliffs Logan County Coal | Lat: 37.782254, Lon: -81.705914 | Coal
Climax | Lat: 39.368664, Lon: -106.183166 | Other (poly)-metallic
Coal Creek | Lat: 44.099893, Lon: -105.404719 | Coal
Coal Valley | Lat: 53.070194, Lon: -116.788849 | Coal
Coal‑Mac | Lat: 37.757959, Lon: -82.111902 | Coal
Coatesville | Lat: 39.970427, Lon: -75.812691 | Processing
Cobre Las Cruces | Lat: 37.496271, Lon: -6.104729 | Copper
Cobre Panama | Lat: 8.843979, Lon: -80.654122 | Other mine
Cockatoo Island | Lat: -16.093914, Lon: 123.609184 | Iron
Codelco Norte | Lat: -22.253125, Lon: -68.891915 | Copper
Codemin | Lat: -14.156771, Lon: -48.340014 | Nickel
Coermotibo and Onverdacht | Lat: 5.581915, Lon: -54.712348 | Aluminium
Coleman | Lat: 46.663431, Lon: -81.363199 | Nickel
Collahuasi | Lat: -20.968392, Lon: -68.672774 | Copper
Collingwood | Lat: -15.763496, Lon: 145.230090 | Other (poly)-metallic
Collinsville | Lat: -20.564976, Lon: 147.749444 | Coal
Colowyo | Lat: 40.241272, Lon: -107.829532 | Coal
Colstrip | Lat: 45.874421, Lon: -106.775740 | Coal
Conga | Lat: -6.929579, Lon: -78.379211 | Other mine
Consolidated Murchison | Lat: -23.902234, Lon: 30.693605 | Gold
